 TIME                    	Front                    	Back                     	Left                     	Right                    	Bottom  
356	-4.319016	-4.319125	-4.417130	-4.417015	5.799513
357	-4.320832	-4.320941	-4.418972	-4.418857	5.798385
358	-4.322648	-4.322757	-4.420813	-4.420698	5.797227
359	-4.324454	-4.324563	-4.422644	-4.422529	5.796055
360	-4.326248	-4.326357	-4.424463	-4.424348	5.794877
361	-4.328034	-4.328143	-4.426275	-4.426160	5.793694
362	-4.329817	-4.329925	-4.428082	-4.427967	5.792508
363	-4.331593	-4.331702	-4.429884	-4.429769	5.791324
364	-4.333361	-4.333470	-4.431677	-4.431562	5.790147
365	-4.335115	-4.335224	-4.433456	-4.433341	5.788983
366	-4.336852	-4.336961	-4.435218	-4.435103	5.787835
367	-4.338571	-4.338680	-4.436962	-4.436847	5.786705
368	-4.340273	-4.340381	-4.438689	-4.438574	5.785593
369	-4.341956	-4.342065	-4.440397	-4.440282	5.784500
370	-4.343624	-4.343733	-4.442090	-4.441975	5.783424
371	-4.345263	-4.345371	-4.443753	-4.443638	5.782392
372	-4.346826	-4.346935	-4.445341	-4.445226	5.781462
373	-4.348280	-4.348388	-4.446819	-4.446704	5.780656
374	-4.349653	-4.349761	-4.448216	-4.448101	5.779932
375	-4.350965	-4.351074	-4.449552	-4.449437	5.779306
376	-4.352264	-4.352372	-4.450875	-4.450760	5.778686
377	-4.353618	-4.353726	-4.452253	-4.452138	5.778008
378	-4.355094	-4.355202	-4.453753	-4.453638	5.777179
379	-4.356700	-4.356808	-4.455384	-4.455269	5.776222
380	-4.358374	-4.358483	-4.457083	-4.456968	5.775191
381	-4.360075	-4.360184	-4.458809	-4.458694	5.774114
382	-4.361783	-4.361892	-4.460542	-4.460428	5.773007
383	-4.363490	-4.363599	-4.462274	-4.462159	5.771882
384	-4.365196	-4.365304	-4.464004	-4.463890	5.770740
385	-4.366906	-4.367015	-4.465739	-4.465625	5.769579
386	-4.368624	-4.368733	-4.467482	-4.467367	5.768401
387	-4.370349	-4.370457	-4.469232	-4.469117	5.767210
388	-4.372079	-4.372188	-4.470986	-4.470872	5.766005
389	-4.373814	-4.373922	-4.472746	-4.472631	5.764788
390	-4.375551	-4.375660	-4.474508	-4.474393	5.763564
391	-4.377289	-4.377398	-4.476270	-4.476155	5.762332
392	-4.379026	-4.379135	-4.478032	-4.477917	5.761096
393	-4.380760	-4.380868	-4.479789	-4.479675	5.759857
394	-4.382488	-4.382596	-4.481542	-4.481427	5.758636
395	-4.384103	-4.384212	-4.483181	-4.483066	5.757620
396	-4.385499	-4.385607	-4.484600	-4.484486	5.756877
397	-4.386706	-4.386815	-4.485831	-4.485716	5.756336
398	-4.387816	-4.387924	-4.486963	-4.486849	5.755898
399	-4.388903	-4.389011	-4.488074	-4.487959	5.755493
400	-4.390022	-4.390130	-4.489216	-4.489101	5.755059
401	-4.391245	-4.391354	-4.490463	-4.490348	5.754483
402	-4.392663	-4.392772	-4.491905	-4.491790	5.753657
403	-4.394261	-4.394370	-4.493527	-4.493413	5.752643
404	-4.395948	-4.396056	-4.495239	-4.495124	5.751523
405	-4.397663	-4.397771	-4.496979	-4.496864	5.750343
406	-4.399379	-4.399488	-4.498720	-4.498605	5.749129
407	-4.401086	-4.401195	-4.500451	-4.500337	5.747898
408	-4.402783	-4.402892	-4.502173	-4.502058	5.746655
409	-4.404478	-4.404586	-4.503892	-4.503778	5.745399
410	-4.406175	-4.406283	-4.505614	-4.505499	5.744133
411	-4.407872	-4.407981	-4.507336	-4.507221	5.742860
412	-4.409567	-4.409676	-4.509055	-4.508940	5.741585
413	-4.411257	-4.411366	-4.510769	-4.510655	5.740312
414	-4.412941	-4.413049	-4.512477	-4.512362	5.739042
415	-4.414615	-4.414723	-4.514175	-4.514060	5.737778
416	-4.416279	-4.416387	-4.515863	-4.515748	5.736523
417	-4.417931	-4.418039	-4.517539	-4.517424	5.735278
418	-4.419569	-4.419677	-4.519201	-4.519086	5.734061
419	-4.421093	-4.421202	-4.520750	-4.520635	5.733047
420	-4.422397	-4.422506	-4.522077	-4.521962	5.732309
421	-4.423518	-4.423627	-4.523221	-4.523106	5.731747
422	-4.424590	-4.424698	-4.524316	-4.524201	5.731197
423	-4.425700	-4.425808	-4.525449	-4.525334	5.730612
424	-4.426881	-4.426990	-4.526653	-4.526539	5.729950
425	-4.428189	-4.428298	-4.527985	-4.527870	5.729138
426	-4.429633	-4.429741	-4.529453	-4.529338	5.728189
427	-4.431157	-4.431265	-4.531001	-4.530886	5.727161
428	-4.432705	-4.432814	-4.532574	-4.532459	5.726092
429	-4.434251	-4.434360	-4.534144	-4.534030	5.725005
430	-4.435785	-4.435893	-4.535702	-4.535588	5.723911
431	-4.437303	-4.437411	-4.537244	-4.537130	5.722818
432	-4.438808	-4.438917	-4.538774	-4.538659	5.721726
433	-4.440309	-4.440418	-4.540299	-4.540185	5.720630
434	-4.441811	-4.441920	-4.541826	-4.541711	5.719528
435	-4.443315	-4.443423	-4.543353	-4.543238	5.718423
436	-4.444818	-4.444926	-4.544880	-4.544766	5.717315
437	-4.446321	-4.446429	-4.546407	-4.546293	5.716204
438	-4.447821	-4.447930	-4.547932	-4.547817	5.715092
439	-4.449317	-4.449426	-4.549452	-4.549337	5.713982
440	-4.450807	-4.450916	-4.550966	-4.550851	5.712875
441	-4.452289	-4.452398	-4.552472	-4.552357	5.711773
442	-4.453761	-4.453869	-4.553967	-4.553852	5.710697
443	-4.455106	-4.455214	-4.555336	-4.555221	5.709852
444	-4.456210	-4.456318	-4.556463	-4.556348	5.709312
